Old profile URL,New profile URL,Pick,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/FuneralDirector,https://careers.sit.sfa.bis.gov.uk/job-profiles/funeral-director,64,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/PestControlTechnician,https://careers.sit.sfa.bis.gov.uk/job-profiles/pest-control-technician,64,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/SocialServicesManager,https://careers.sit.sfa.bis.gov.uk/job-profiles/social-services-manager,65,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/PaperMaker,https://careers.sit.sfa.bis.gov.uk/job-profiles/paper-maker,72,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/FarmWorker,https://careers.sit.sfa.bis.gov.uk/job-profiles/farm-worker,73,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CountrysideRanger,https://careers.sit.sfa.bis.gov.uk/job-profiles/countryside-ranger,75,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Archivist,https://careers.sit.sfa.bis.gov.uk/job-profiles/archivist,77,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/DentalTechnician,https://careers.sit.sfa.bis.gov.uk/job-profiles/dental-technician,77,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/MusicTherapist,https://careers.sit.sfa.bis.gov.uk/job-profiles/music-therapist,79,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarSalesperson,https://careers.sit.sfa.bis.gov.uk/job-profiles/car-salesperson,81,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BuildingSiteInspector,https://careers.sit.sfa.bis.gov.uk/job-profiles/building-site-inspector,83,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Librarian,https://careers.sit.sfa.bis.gov.uk/job-profiles/librarian,83,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Solicitor,https://careers.sit.sfa.bis.gov.uk/job-profiles/solicitor,83,,,,,
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/HigherEducationLecturer,https://careers.sit.sfa.bis.gov.uk/job-profiles/higher-education-lecturer,84,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/electrical-engineer,85,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/it-project-manager,89,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/prop-maker,90,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/civil-service-administrative-officer,91,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/secondary-school-teacher,94,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/paper-technologist,97,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/diplomatic-service-officer,98,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/playworker,98,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/play-therapist,99,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/maintenance-fitter,100,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/retail-buyer,104,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/stock-control-assistant,104,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/systems-analyst,105,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/customer-service-assistant,106,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/marketing-manager,106,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/veterinary-physiotherapist,106,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/electronics-engineering-technician,108,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/psychiatrist,108,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/sports-coach,109,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/dog-groomer,112,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/industrial-cleaner,112,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/market-trader,114,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/watch-or-clock-repairer,115,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/architect,120,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/it-support-technician,121,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/special-educational-needs-sen-teaching-assistant,121,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/electrician,122,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/satellite-engineer,123,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/dental-hygienist,124,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/surgeon,125,,,,,
