URL,Pick
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/AutomotiveEngineer.aspx,634
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Bailiff.aspx,276
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Baker.aspx,460
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BankingCustomerServiceAdviser.aspx,400
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BankManager.aspx,512
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/barista.aspx,410
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BarPerson.aspx,821
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Barrister.aspx,424
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Barristers%27Clerk.aspx,664
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BeautyConsultant.aspx,175
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BeautyTherapist.aspx,247
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/beekeeper.aspx,242
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BettingShopCashier.aspx,722
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/bidwriter.aspx,615
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BilingualSecretary.aspx,743
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Biochemist.aspx,700
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Biologist.aspx,295
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BiomedicalScientist.aspx,393
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Biotechnologist.aspx,662
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Blacksmith.aspx,51
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Bodyguard.aspx,601
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BodyPiercer.aspx,186
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/bombdisposaltechnician.aspx,153
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BookbinderorPrintFinisher.aspx,808
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Bookmaker.aspx,487
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Bookseller.aspx,261
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BorderForceOfficerorAssistantOfficer.aspx,537
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Botanist.aspx,265
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Bottler.aspx,283
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BreweryWorker.aspx,369
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Bricklayer.aspx,284
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BritishSignLanguageInterpreter.aspx,222
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BroadcastEngineer.aspx,796
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BroadcastJournalist.aspx,574
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Builders%27Merchant.aspx,568
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BuildingControlOfficer.aspx,531
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BuildingServicesEngineer.aspx,548
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BuildingSurveyor.aspx,213
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BuildingTechnician.aspx,366
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Business-development-manager.aspx,238
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BusinessAdviser.aspx,530
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/businessanalyst.aspx,812
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/BusorCoachDriver.aspx,776
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Butcher.aspx,737
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Butler.aspx,401
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CADTechnician.aspx,324
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/cakedecorator.aspx,658
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CallCentreOperator.aspx,416
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CareAssistant.aspx,763
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CareersAdviser.aspx,372
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CareHomeAdvocate.aspx,484
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Caretaker.aspx,505
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarFleetManager.aspx,822
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarpenterorJoiner.aspx,96
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarpetFitter-FloorLayer.aspx,626
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarRentalAgent.aspx,306
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarSalesperson.aspx,455
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Cartographer.aspx,364
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CarValet.aspx,441
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/cateringmanager.aspx,543
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CavityInsulationInstaller.aspx,785
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CeilingFixer.aspx,484
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CellarTechnician.aspx,718
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CemeteryWorker.aspx,425
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CeramicsDesigner-Maker.aspx,303
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CharityFundraiser.aspx,805
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Chauffeur.aspx,303
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CheckoutOperator.aspx,641
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Chef.aspx,476
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ChemicalEngineer.aspx,578
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ChemicalEngineeringTechnician.aspx,778
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ChemicalPlantProcessOperator.aspx,530
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Chemist.aspx,555
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Childminder.aspx,297
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Children%27sNurse.aspx,342
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Children%27sNurse.aspx,665
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ChimneySweep.aspx,729
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Chiropodist-podiatrist.aspx,610
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/chiropodist-podiatrist.aspx,711
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/chiropody-podiatry-assistant.aspx,15
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/chiropody-podiatry-assistant.aspx,680
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Chiropractor.aspx,2
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Choreographer.aspx,56
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Cinema-TheatreAttendant.aspx,104
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Cinemaprojectionist.aspx,61
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Cinematographer.aspx,215
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CircusPerformer.aspx,758
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CivilEnforcementOfficer.aspx,697
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CivilEngineer.aspx,322
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CivilEngineeringTechnician.aspx,467
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CivilServiceAdministrativeOfficer.aspx,24
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CivilServiceExecutiveOfficer.aspx,636
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ClassicalMusician.aspx,383
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Cleaner.aspx,312
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ClerkofWorks.aspx,789
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ClinicalEngineer.aspx,766
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ClinicalPsychologist.aspx,822
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ClinicalScientist.aspx,361
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ClothingAlterationHand.aspx,602
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Clothingpresser.aspx,819
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CNCMachinist.aspx,24
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Coastguard.aspx,593
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Cognitive-behavioural-therapist.aspx,391
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ColonHydrotherapist.aspx,104
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ColourTherapist.aspx,440
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommercialEnergyAssessor.aspx,753
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommissioningEditor.aspx,168
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunicationSupportWorker.aspx,135
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityArtsWorker.aspx,770
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityDevelopmentWorker.aspx,78
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/communityeducationcoordinator.aspx,103
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityMatron.aspx,216
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityTransportDriver.aspx,822
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityTransportOperationsManager.aspx,102
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CommunityTransportPassengerAssistant.aspx,349
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CompanySecretary.aspx,490
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ComputerGamesDeveloper.aspx,440
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ComputerGamesTester.aspx,344
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ComputerServiceandRepairTechnician.aspx,3
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConferenceandExhibitionOrganiser.aspx,814
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Conservator.aspx,663
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConstructionContractsManager.aspx,235
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConstructionManager.aspx,418
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConstructionOperative.aspx,738
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConstructionPlantMechanic.aspx,261
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConstructionPlantOperator.aspx,62
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/ConsumerScientist.aspx,439
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CopyEditor.aspx,144
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Coroner.aspx,105
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CostumeDesigner.aspx,598
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Counsellor.aspx,457
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CounterServiceAssistant.aspx,380
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CountrysideOfficer.aspx,828
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CountrysideRanger.aspx,354
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/Courier.aspx,743
https://nationalcareersservice.direct.gov.uk/advice/planning/jobprofiles/Pages/CourtAdministrativeOfficer.aspx,122
